PO_ID,PO_Date,Invoice_Date,Payment_Date,Category,Item_Description,Supplier_Name,Business_Unit,Quantity,Unit_Price,Total_Cost,Contract_Flag,PO_Year,PO_Month,PO_Quarter
PO-00027,2023-05-18,2023-05-31,2023-07-12,MRO,MRO - Item 617,SafeGuard Equipment,Operations,14,1025.89,14362.46,Y,2023,5,Q2
PO-00028,2024-05-15,2024-05-28,2024-07-09,MRO,MRO - Item 265,FastTrack MRO,Sales,3,58.13,174.39,N,2024,5,Q2
PO-00029,2024-03-28,2024-04-06,2024-05-19,Logistics,Logistics - Item 540,SwiftLogistics Group,Operations,10,5695.05,56950.5,N,2024,3,Q1
PO-00030,2023-05-11,2023-05-27,2023-06-01,Raw Materials,Raw Materials - Item 898,NorthStar Composites,R&D,23,1147.84,26400.32,Y,2023,5,Q2
PO-00031,2024-02-21,2024-03-10,2024-03-28,Marketing,Marketing - Item 921,CreativeWorks Inc,Operations,12,11986.12,143833.44,Y,2024,2,Q1
PO-00032,2023-09-12,2023-09-26,2023-10-19,MRO,MRO - Item 940,FastTrack MRO,Supply Chain,15,367.78,5516.7,N,2023,9,Q3
PO-00033,2023-08-22,2023-09-06,2023-10-01,MRO,MRO - Item 128,Industrial Direct,Finance,50,467.6,23380.0,Y,2023,8,Q3
PO-00034,2023-04-29,2023-05-17,2023-06-03,Facilities,Facilities - Item 720,CleanPro Services,R&D,39,1422.41,55473.99,Y,2023,4,Q2
PO-00035,2024-06-07,2024-06-18,2024-08-03,Raw Materials,Raw Materials - Item 472,SteelCore Industries,Operations,34,5801.49,197250.66,Y,2024,6,Q2
PO-00036,2024-03-17,2024-04-04,2024-05-13,Raw Materials,Raw Materials - Item 434,AlphaMetals Ltd,Finance,47,5448.36,256072.92,Y,2024,3,Q1
PO-00037,2024-02-17,2024-03-05,2024-03-22,IT & Software,IT & Software - Item 661,CloudTech Systems,Sales,48,13102.79,628933.92,Y,2024,2,Q1
PO-00038,2023-01-01,2023-01-11,2023-02-15,MRO,MRO - Item 774,SafeGuard Equipment,Sales,29,651.56,18895.24,Y,2023,1,Q1
PO-00039,2023-03-28,2023-04-06,2023-04-24,MRO,MRO - Item 125,ToolMaster Supply,Operations,16,969.07,15505.12,N,2023,3,Q1
PO-00040,2023-02-17,2023-03-09,2023-03-28,MRO,MRO - Item 509,PrecisionParts Co,Operations,41,923.36,37857.76,Y,2023,2,Q1
PO-00041,2023-09-07,2023-09-26,2023-11-05,Raw Materials,Raw Materials - Item 151,EastCoast Polymers,Supply Chain,50,2095.45,104772.5,N,2023,9,Q3
PO-00042,2023-09-13,2023-10-01,2023-10-26,Office Supplies,Office Supplies - Item 950,OfficeWorld Ltd,IT,36,328.93,11841.48,Y,2023,9,Q3
PO-00043,2024-04-01,2024-04-13,2024-05-17,Facilities,Facilities - Item 381,CleanPro Services,Finance,41,954.42,39131.22,Y,2024,4,Q2
PO-00044,2024-03-26,2024-04-06,2024-04-19,Raw Materials,Raw Materials - Item 165,AlphaMetals Ltd,Finance,9,1098.47,9886.23,Y,2024,3,Q1
PO-00045,2024-02-29,2024-03-17,2024-04-20,Logistics,Logistics - Item 588,FreightMaster Inc,Operations,50,4985.01,249250.5,Y,2024,2,Q1
PO-00046,2023-01-07,2023-01-19,2023-03-01,Office Supplies,Office Supplies - Item 599,OfficeWorld Ltd,Supply Chain,35,379.75,13291.25,N,2023,1,Q1
PO-00047,2023-08-13,2023-08-18,2023-09-05,MRO,MRO - Item 503,Industrial Direct,Sales,47,287.43,13509.21,N,2023,8,Q3
PO-00048,2023-01-28,2023-02-10,2023-03-08,Raw Materials,Raw Materials - Item 870,EastCoast Polymers,Operations,21,1173.86,24651.06,Y,2023,1,Q1
PO-00049,2024-03-07,2024-03-13,2024-05-02,MRO,MRO - Item 872,FastTrack MRO,HR,23,342.76,7883.48,N,2024,3,Q1
PO-00050,2023-02-01,2023-02-14,2023-03-17,Office Supplies,Office Supplies - Item 885,OfficeWorld Ltd,Operations,43,71.97,3094.71,Y,2023,2,Q1
PO-00051,2024-01-13,2024-01-30,2024-02-16,Raw Materials,Raw Materials - Item 506,GlobalMat Corp,Operations,20,650.68,13013.6,N,2024,1,Q1
PO-00052,2023-07-23,2023-07-29,2023-09-12,Raw Materials,Raw Materials - Item 455,PrimeChem Solutions,Operations,44,2848.4,125329.6,N,2023,7,Q3
PO-00053,2024-06-29,2024-07-18,2024-08-23,Logistics,Logistics - Item 824,CrossBorder Express,Finance,32,1215.19,38886.08,Y,2024,6,Q2
PO-00054,2023-06-06,2023-06-19,2023-07-28,Logistics,Logistics - Item 430,QuickShip Ltd,Finance,35,6220.73,217725.55,Y,2023,6,Q2
PO-00055,2023-09-09,2023-09-24,2023-10-25,Facilities,Facilities - Item 286,FaciliTech Corp,Operations,40,1971.07,78842.8,Y,2023,9,Q3
PO-00056,2024-05-14,2024-05-21,2024-06-10,Raw Materials,Raw Materials - Item 347,AlphaMetals Ltd,Supply Chain,18,3539.12,63704.16,Y,2024,5,Q2
PO-00057,2024-02-21,2024-03-04,2024-04-20,Logistics,Logistics - Item 413,LastMile Delivery,Sales,2,959.91,1919.82,Y,2024,2,Q1
PO-00058,2024-01-13,2024-01-21,2024-02-11,Logistics,Logistics - Item 838,FreightMaster Inc,Marketing,45,3647.11,164119.95,Y,2024,1,Q1
PO-00059,2023-07-17,2023-07-31,2023-09-03,MRO,MRO - Item 202,MechSupply Ltd,Sales,48,785.87,37721.76,Y,2023,7,Q3
PO-00060,2023-07-18,2023-07-27,2023-09-15,MRO,MRO - Item 753,Industrial Direct,Marketing,3,1478.34,4435.02,Y,2023,7,Q3
PO-00061,2024-05-17,2024-05-25,2024-07-01,Raw Materials,Raw Materials - Item 941,PortLink Services,IT,12,4595.07,55140.84,Y,2024,5,Q2
PO-00062,2023-03-08,2023-03-16,2023-04-07,Logistics,Logistics - Item 671,LastMile Delivery,Operations,37,6977.06,258151.22,Y,2023,3,Q1
PO-00063,2024-03-02,2024-03-16,2024-04-13,IT & Software,IT & Software - Item 682,CloudTech Systems,HR,29,4406.92,127800.68,Y,2024,3,Q1
PO-00064,2023-03-03,2023-03-10,2023-04-22,IT & Software,IT & Software - Item 260,InfraCloud Ltd,Operations,43,1010.66,43458.38,Y,2023,3,Q1
PO-00065,2023-01-03,2023-01-15,2023-03-02,Logistics,Logistics - Item 370,CrossBorder Express,Operations,19,5660.48,107549.12,Y,2023,1,Q1
PO-00066,2023-07-22,2023-08-05,2023-09-13,Logistics,Logistics - Item 549,LastMile Delivery,Supply Chain,5,803.65,4018.25,N,2023,7,Q3
PO-00067,2023-05-08,2023-05-23,2023-06-19,Logistics,Logistics - Item 718,FreightMaster Inc,Finance,29,834.79,24208.91,Y,2023,5,Q2
PO-00068,2023-09-14,2023-09-20,2023-10-16,Raw Materials,Raw Materials - Item 881,GlobalMat Corp,Supply Chain,2,5170.16,10340.32,Y,2023,9,Q3
PO-00069,2023-06-29,2023-07-15,2023-08-13,Logistics,Logistics - Item 518,LocalFreight Co,Operations,41,7186.0,294626.0,Y,2023,6,Q2
PO-00070,2023-12-08,2023-12-14,2024-01-27,MRO,MRO - Item 565,FastTrack MRO,IT,43,1509.62,64913.66,Y,2023,12,Q4
PO-00071,2023-04-01,2023-04-07,2023-05-12,MRO,MRO - Item 292,MechSupply Ltd,IT,1,1012.16,1012.16,Y,2023,4,Q2
PO-00072,2024-06-14,2024-07-04,2024-08-12,MRO,MRO - Item 224,ToolMaster Supply,Marketing,36,229.8,8272.8,Y,2024,6,Q2
PO-00073,2023-01-30,2023-02-18,2023-02-21,Marketing,Marketing - Item 220,BrandBoost Agency,Operations,36,5894.78,212212.08,Y,2023,1,Q1
PO-00074,2023-06-07,2023-06-18,2023-07-16,Logistics,Logistics - Item 713,CrossBorder Express,Finance,31,2199.05,68170.55,Y,2023,6,Q2
PO-00075,2024-06-04,2024-06-18,2024-06-19,Professional Services,Professional Services - Item 843,Apex Consulting Group,Marketing,22,23251.88,511541.36,N,2024,6,Q2
PO-00076,2023-11-02,2023-11-19,2023-12-21,Facilities,Facilities - Item 566,SecureGuard Systems,Supply Chain,31,1112.29,34480.99,Y,2023,11,Q4
PO-00077,2023-11-26,2023-12-13,2024-01-25,Facilities,Facilities - Item 495,BuildRight Maintenance,IT,27,237.67,6417.09,N,2023,11,Q4
PO-00078,2023-06-05,2023-06-24,2023-07-23,Logistics,Logistics - Item 115,BuildRight Maintenance,R&D,7,6947.32,48631.24,Y,2023,6,Q2
PO-00079,2023-05-28,2023-06-12,2023-06-17,Logistics,Logistics - Item 972,SwiftLogistics Group,IT,22,5417.66,119188.52,N,2023,5,Q2
PO-00080,2024-06-30,2024-07-14,2024-08-27,MRO,MRO - Item 332,ToolMaster Supply,Marketing,3,895.17,2685.51,N,2024,6,Q2
PO-00081,2023-04-03,2023-04-09,2023-05-08,Logistics,Logistics - Item 400,LastMile Delivery,Supply Chain,45,2360.39,106217.55,Y,2023,4,Q2
PO-00082,2024-01-03,2024-01-15,2024-02-11,MRO,MRO - Item 609,ProParts Inc,HR,11,310.5,3415.5,Y,2024,1,Q1
PO-00083,2023-05-27,2023-06-03,2023-06-21,MRO,MRO - Item 552,ProParts Inc,Sales,30,1404.95,42148.5,N,2023,5,Q2
PO-00084,2023-12-20,2023-12-28,2024-02-03,Marketing,Marketing - Item 342,CreativeWorks Inc,Sales,20,3075.8,61516.0,Y,2023,12,Q4
PO-00085,2024-01-26,2024-02-01,2024-03-24,IT & Software,IT & Software - Item 720,InfraCloud Ltd,Finance,43,4336.87,186485.41,N,2024,1,Q1
PO-00086,2024-05-23,2024-06-01,2024-07-20,Facilities,Facilities - Item 743,SecureGuard Systems,Operations,15,1993.25,29898.75,N,2024,5,Q2
PO-00087,2023-04-10,2023-04-28,2023-05-15,Office Supplies,Office Supplies - Item 279,OfficeWorld Ltd,IT,47,80.49,3783.03,Y,2023,4,Q2
PO-00088,2023-07-25,2023-08-08,2023-09-08,Raw Materials,Raw Materials - Item 864,NorthStar Composites,HR,11,1526.54,16791.94,N,2023,7,Q3
PO-00089,2023-12-13,2023-12-29,2024-02-01,Professional Services,Professional Services - Item 192,Apex Consulting Group,Marketing,44,17863.81,786007.64,Y,2023,12,Q4
PO-00090,2024-02-09,2024-02-17,2024-03-18,Raw Materials,Raw Materials - Item 791,AlphaMetals Ltd,Sales,38,2450.47,93117.86,N,2024,2,Q1
PO-00091,2023-08-28,2023-09-11,2023-10-26,Logistics,Logistics - Item 764,LocalFreight Co,Finance,42,837.73,35184.66,Y,2023,8,Q3
PO-00092,2024-02-23,2024-03-13,2024-04-02,Raw Materials,Raw Materials - Item 479,PrimeChem Solutions,Finance,7,1337.01,9359.07,Y,2024,2,Q1
PO-00093,2024-03-05,2024-03-21,2024-03-22,IT & Software,IT & Software - Item 322,TechBridge Corp,Sales,40,5404.18,216167.2,N,2024,3,Q1
PO-00094,2024-03-30,2024-04-07,2024-04-26,Logistics,Logistics - Item 968,FreightMaster Inc,R&D,42,2999.41,125975.22,Y,2024,3,Q1
PO-00095,2024-04-10,2024-04-21,2024-05-31,Raw Materials,Raw Materials - Item 170,PrimeChem Solutions,R&D,22,1266.7,27867.4,Y,2024,4,Q2
PO-00096,2023-08-01,2023-08-10,2023-08-25,IT & Software,IT & Software - Item 653,CloudTech Systems,Marketing,39,150.63,5874.57,N,2023,8,Q3
PO-00097,2023-09-14,2023-09-20,2023-10-15,Professional Services,Professional Services - Item 229,FinanceWise Advisory,Operations,16,10822.19,173155.04,Y,2023,9,Q3
PO-00098,2024-03-07,2024-03-13,2024-04-30,Logistics,Logistics - Item 844,CrossBorder Express,Marketing,7,3569.91,24989.37,Y,2024,3,Q1
PO-00099,2024-06-17,2024-06-24,2024-07-30,MRO,MRO - Item 182,FastTrack MRO,R&D,28,1042.81,29198.68,N,2024,6,Q2
PO-00100,2023-11-26,2023-12-15,2023-12-29,IT & Software,IT & Software - Item 617,DataCore Solutions,Sales,21,4723.0,99183.0,Y,2023,11,Q4
PO-00101,2024-03-16,2024-04-03,2024-04-14,Raw Materials,Raw Materials - Item 447,EastCoast Polymers,Sales,47,4293.46,201792.62,N,2024,3,Q1
PO-00102,2024-04-09,2024-04-16,2024-04-29,MRO,MRO - Item 195,Industrial Direct,Finance,10,1040.51,10405.1,Y,2024,4,Q2
PO-00103,2024-03-18,2024-04-03,2024-04-28,Raw Materials,Raw Materials - Item 994,EastCoast Polymers,HR,36,2994.55,107803.8,Y,2024,3,Q1
PO-00104,2024-03-09,2024-03-21,2024-04-23,Facilities,Facilities - Item 967,FaciliTech Corp,Sales,37,1462.98,54130.26,Y,2024,3,Q1
PO-00105,2023-04-21,2023-04-26,2023-06-14,MRO,MRO - Item 723,FastTrack MRO,Finance,28,1396.53,39102.84,Y,2023,4,Q2
PO-00106,2023-10-01,2023-10-08,2023-11-10,Raw Materials,Raw Materials - Item 245,GlobalMat Corp,Supply Chain,12,4433.38,53200.56,Y,2023,10,Q4
PO-00107,2023-02-01,2023-02-08,2023-03-24,Raw Materials,Raw Materials - Item 153,AlphaMetals Ltd,IT,20,3727.89,74557.8,Y,2023,2,Q1
PO-00108,2023-06-09,2023-06-17,2023-07-07,Raw Materials,Raw Materials - Item 453,GlobalMat Corp,Finance,32,3060.52,97936.64,Y,2023,6,Q2
PO-00109,2024-03-16,2024-03-27,2024-03-31,Raw Materials,Raw Materials - Item 408,PrimeChem Solutions,HR,15,2138.93,32083.95,Y,2024,3,Q1
PO-00110,2023-08-05,2023-08-17,2023-10-04,Professional Services,Professional Services - Item 612,StrategyFirst Partners,Operations,28,3831.99,107295.72,Y,2023,8,Q3
PO-00111,2023-12-29,2024-01-16,2024-02-27,Raw Materials,Raw Materials - Item 396,SteelCore Industries,Operations,21,3489.49,73279.29,N,2023,12,Q4
PO-00112,2023-04-28,2023-05-10,2023-05-19,Logistics,Logistics - Item 546,SwiftLogistics Group,R&D,45,7650.34,344265.3,Y,2023,4,Q2
PO-00113,2024-02-15,2024-02-26,2024-04-03,Logistics,Logistics - Item 894,FreightMaster Inc,Finance,11,911.79,10029.69,Y,2024,2,Q1
PO-00114,2023-12-24,2023-12-31,2024-02-18,MRO,MRO - Item 281,ToolMaster Supply,Operations,17,342.93,5829.81,Y,2023,12,Q4
PO-00115,2024-05-20,2024-06-04,2024-07-14,Logistics,Logistics - Item 254,CrossBorder Express,Sales,42,5321.1,223486.2,N,2024,5,Q2
PO-00116,2024-03-26,2024-04-01,2024-04-12,Raw Materials,Raw Materials - Item 477,AlphaMetals Ltd,Finance,33,668.43,22058.19,Y,2024,3,Q1
PO-00117,2023-10-21,2023-11-09,2023-11-07,Raw Materials,Raw Materials - Item 929,EastCoast Polymers,Sales,30,3256.81,97704.3,Y,2023,10,Q4
PO-00118,2023-07-12,2023-07-22,2023-09-06,MRO,MRO - Item 140,FastTrack MRO,Operations,22,1351.88,29741.36,Y,2023,7,Q3
PO-00119,2023-09-11,2023-09-17,2023-11-08,Professional Services,Professional Services - Item 908,LegalEdge Associates,Sales,19,8496.76,161438.44,Y,2023,9,Q3
PO-00120,2023-12-09,2023-12-24,2024-01-02,Raw Materials,Raw Materials - Item 183,GlobalMat Corp,Finance,43,4928.36,211919.48,Y,2023,12,Q4
PO-00121,2023-05-25,2023-06-09,2023-07-03,Office Supplies,Office Supplies - Item 932,DeskPro Supplies,Sales,46,451.74,20780.04,Y,2023,5,Q2
PO-00122,2023-05-11,2023-05-27,2023-05-27,IT & Software,IT & Software - Item 416,SoftEdge Inc,Sales,42,8092.14,339869.88,Y,2023,5,Q2
PO-00123,2023-07-04,2023-07-10,2023-07-25,Office Supplies,Office Supplies - Item 777,PrintMaster Co,Operations,10,51.1,511.0,N,2023,7,Q3
PO-00124,2023-12-11,2023-12-30,2024-01-05,Facilities,Facilities - Item 144,CleanPro Services,Operations,45,2480.58,111626.1,Y,2023,12,Q4
PO-00125,2024-02-25,2024-03-07,2024-04-10,MRO,MRO - Item 476,MechSupply Ltd,Sales,29,369.0,10701.0,N,2024,2,Q1
PO-00126,2024-03-27,2024-04-02,2024-04-27,Logistics,Logistics - Item 756,FreightMaster Inc,HR,13,6001.81,78023.53,N,2024,3,Q1
PO-00127,2024-05-07,2024-05-16,2024-06-19,Facilities,Facilities - Item 950,BuildRight Maintenance,Supply Chain,19,319.92,6078.48,N,2024,5,Q2
PO-00128,2024-03-23,2024-04-09,2024-04-22,Raw Materials,Raw Materials - Item 183,EastCoast Polymers,Supply Chain,27,455.82,12307.14,N,2024,3,Q1
PO-00129,2024-01-19,2024-01-28,2024-03-04,MRO,MRO - Item 877,FastTrack MRO,Marketing,10,238.88,2388.8,Y,2024,1,Q1
PO-00130,2024-04-25,2024-05-13,2024-06-12,Logistics,Logistics - Item 213,NorthStar Composites,Operations,10,4731.48,47314.8,Y,2024,4,Q2
PO-00131,2023-10-23,2023-10-28,2023-12-15,MRO,MRO - Item 747,FastTrack MRO,Sales,5,227.82,1139.1,N,2023,10,Q4
PO-00132,2024-06-11,2024-06-27,2024-07-01,IT & Software,IT & Software - Item 169,DataCore Solutions,Operations,37,5223.4,193265.8,Y,2024,6,Q2
PO-00133,2024-06-22,2024-06-27,2024-07-23,Logistics,Logistics - Item 465,CrossBorder Express,Operations,3,5694.43,17083.29,N,2024,6,Q2
PO-00134,2023-03-11,2023-03-21,2023-04-16,MRO,MRO - Item 950,ToolMaster Supply,Marketing,22,236.25,5197.5,N,2023,3,Q1
PO-00135,2024-04-20,2024-04-26,2024-05-17,Marketing,Marketing - Item 423,BrandBoost Agency,Operations,30,702.76,21082.8,N,2024,4,Q2
PO-00136,2023-11-14,2023-11-29,2023-12-02,Logistics,Logistics - Item 379,CrossBorder Express,Finance,13,2684.34,34896.42,Y,2023,11,Q4
PO-00137,2023-05-08,2023-05-24,2023-06-23,Professional Services,Professional Services - Item 916,StrategyFirst Partners,IT,22,19472.81,428401.82,N,2023,5,Q2
PO-00138,2024-06-15,2024-06-30,2024-07-05,MRO,MRO - Item 776,Industrial Direct,IT,12,810.87,9730.44,N,2024,6,Q2
PO-00139,2023-10-30,2023-11-17,2023-12-23,MRO,MRO - Item 381,Industrial Direct,Sales,3,1194.75,3584.25,Y,2023,10,Q4
PO-00140,2023-02-28,2023-03-06,2023-04-12,Raw Materials,Raw Materials - Item 229,AlphaMetals Ltd,Supply Chain,2,911.16,1822.32,Y,2023,2,Q1
PO-00141,2023-03-10,2023-03-29,2023-04-17,MRO,MRO - Item 881,Industrial Direct,R&D,10,1127.51,11275.1,Y,2023,3,Q1
PO-00142,2023-03-20,2023-04-06,2023-05-07,IT & Software,IT & Software - Item 675,DataCore Solutions,Sales,8,382.73,3061.84,Y,2023,3,Q1
PO-00143,2023-05-01,2023-05-20,2023-05-20,MRO,MRO - Item 276,ProParts Inc,R&D,32,315.47,10095.04,Y,2023,5,Q2
PO-00144,2024-03-31,2024-04-10,2024-05-04,Marketing,Marketing - Item 828,CreativeWorks Inc,R&D,46,1170.89,53860.94,N,2024,3,Q1
PO-00145,2023-06-28,2023-07-17,2023-08-05,Professional Services,Professional Services - Item 922,Apex Consulting Group,Operations,32,1099.59,35186.88,Y,2023,6,Q2
PO-00146,2023-05-13,2023-05-20,2023-07-03,IT & Software,IT & Software - Item 228,DataCore Solutions,R&D,34,4898.1,166535.4,N,2023,5,Q2
PO-00147,2023-11-21,2023-12-09,2023-12-14,IT & Software,IT & Software - Item 614,SoftEdge Inc,Finance,50,6777.45,338872.5,N,2023,11,Q4
PO-00148,2023-02-26,2023-03-05,2023-03-31,Facilities,Facilities - Item 356,BuildRight Maintenance,Operations,15,1200.77,18011.55,N,2023,2,Q1
PO-00149,2023-07-21,2023-07-30,2023-09-11,IT & Software,IT & Software - Item 275,CloudTech Systems,Finance,33,8499.68,280489.44,Y,2023,7,Q3
PO-00150,2023-12-12,2023-12-30,2024-01-09,Facilities,Facilities - Item 732,SecureGuard Systems,Operations,42,2226.01,93492.42,Y,2023,12,Q4
PO-00151,2023-02-01,2023-02-07,2023-04-01,Logistics,Logistics - Item 261,FreightMaster Inc,R&D,44,3395.07,149383.08,Y,2023,2,Q1
PO-00152,2024-03-26,2024-04-04,2024-05-05,Logistics,Logistics - Item 878,FreightMaster Inc,Operations,21,6382.9,134040.9,N,2024,3,Q1
PO-00153,2024-01-15,2024-02-02,2024-02-23,Logistics,Logistics - Item 354,SwiftLogistics Group,Operations,10,1198.1,11981.0,Y,2024,1,Q1
PO-00154,2023-06-13,2023-06-18,2023-07-29,Professional Services,Professional Services - Item 192,FinanceWise Advisory,Operations,33,10330.94,340921.02,Y,2023,6,Q2
PO-00155,2024-02-07,2024-02-27,2024-04-05,Logistics,Logistics - Item 392,SwiftLogistics Group,Finance,32,6063.18,194021.76,Y,2024,2,Q1
PO-00156,2023-01-09,2023-01-20,2023-02-28,Facilities,Facilities - Item 471,FaciliTech Corp,Marketing,24,210.45,5050.8,N,2023,1,Q1
PO-00157,2023-10-23,2023-11-09,2023-11-13,Raw Materials,Raw Materials - Item 482,GlobalMat Corp,Finance,44,2900.33,127614.52,N,2023,10,Q4
PO-00158,2023-12-14,2024-01-03,2024-01-19,Logistics,Logistics - Item 631,SwiftLogistics Group,Sales,3,722.8,2168.4,Y,2023,12,Q4
PO-00159,2024-04-12,2024-04-27,2024-05-16,Raw Materials,Raw Materials - Item 619,SteelCore Industries,Supply Chain,26,6231.34,162014.84,Y,2024,4,Q2
PO-00160,2024-06-05,2024-06-10,2024-07-09,Logistics,Logistics - Item 711,FreightMaster Inc,Supply Chain,44,1124.86,49493.84,Y,2024,6,Q2
PO-00161,2024-04-30,2024-05-17,2024-06-24,MRO,MRO - Item 251,MechSupply Ltd,HR,4,837.06,3348.24,Y,2024,4,Q2
PO-00162,2023-09-06,2023-09-26,2023-10-23,Raw Materials,Raw Materials - Item 993,SteelCore Industries,Operations,10,2373.41,23734.1,Y,2023,9,Q3
PO-00163,2023-03-05,2023-03-20,2023-04-23,Professional Services,Professional Services - Item 659,LegalEdge Associates,R&D,25,6185.59,154639.75,Y,2023,3,Q1
PO-00164,2023-12-29,2024-01-12,2024-02-17,IT & Software,IT & Software - Item 330,SoftEdge Inc,Supply Chain,31,2266.88,70273.28,Y,2023,12,Q4
PO-00165,2023-11-01,2023-11-15,2023-12-03,Professional Services,Professional Services - Item 224,LegalEdge Associates,IT,36,19812.4,713246.4,Y,2023,11,Q4
PO-00166,2024-01-24,2024-02-12,2024-03-01,Facilities,Facilities - Item 771,CleanPro Services,Marketing,3,974.14,2922.42,Y,2024,1,Q1
PO-00167,2023-09-20,2023-10-02,2023-11-11,Professional Services,Professional Services - Item 348,FinanceWise Advisory,Finance,18,3250.32,58505.76,Y,2023,9,Q3
PO-00168,2023-02-21,2023-02-26,2023-03-16,IT & Software,IT & Software - Item 663,NetSecure Pro,Operations,46,5928.95,272731.7,Y,2023,2,Q1
PO-00169,2023-06-11,2023-06-23,2023-07-01,Logistics,Logistics - Item 647,PortLink Services,IT,19,2853.91,54224.29,Y,2023,6,Q2
PO-00170,2023-02-08,2023-02-14,2023-03-13,Office Supplies,Office Supplies - Item 109,PrintMaster Co,Operations,26,371.25,9652.5,N,2023,2,Q1
PO-00171,2023-11-02,2023-11-21,2023-11-25,IT & Software,IT & Software - Item 379,InfraCloud Ltd,Finance,35,6832.92,239152.2,N,2023,11,Q4
