PO_ID,PO_Date,Invoice_Date,Payment_Date,Category,Item_Description,Supplier_Name,Business_Unit,Quantity,Unit_Price,Total_Cost,Contract_Flag,PO_Year,PO_Month,PO_Quarter,Payment_Cycle_Days,Is_Maverick,Year_Month,Calculated_Cost,Cost_Discrepancy
PO-00045,2024-02-29,2024-03-17,2024-04-20,Logistics,Logistics - Item 588,Freightmaster Inc,Operations,50,4985.01,249250.5,Y,2024,2,Q1,51,0,2024-02,249250.5,0.0
PO-00046,2023-01-07,2023-01-19,2023-03-01,Office Supplies,Office Supplies - Item 599,Officeworld Ltd,Supply Chain,35,379.75,13291.25,N,2023,1,Q1,53,1,2023-01,13291.25,0.0
PO-00047,2023-08-13,2023-08-18,2023-09-05,MRO,MRO - Item 503,Industrial Direct,Sales,47,287.43,13509.21,N,2023,8,Q3,23,1,2023-08,13509.210000000001,1.8189894035458565e-12
PO-00048,2023-01-28,2023-02-10,2023-03-08,Raw Materials,Raw Materials - Item 870,Eastcoast Polymers,Operations,21,1173.86,24651.06,Y,2023,1,Q1,39,0,2023-01,24651.059999999998,3.637978807091713e-12
PO-00049,2024-03-07,2024-03-13,2024-05-02,MRO,MRO - Item 872,Fasttrack Mro,HR,23,342.76,7883.48,N,2024,3,Q1,56,1,2024-03,7883.48,0.0
PO-00050,2023-02-01,2023-02-14,2023-03-17,Office Supplies,Office Supplies - Item 885,Officeworld Ltd,Operations,43,71.97,3094.71,Y,2023,2,Q1,44,0,2023-02,3094.71,0.0
PO-00051,2024-01-13,2024-01-30,2024-02-16,Raw Materials,Raw Materials - Item 506,Globalmat Corp,Operations,20,650.68,13013.6,N,2024,1,Q1,34,1,2024-01,13013.599999999999,1.8189894035458565e-12
PO-00052,2023-07-23,2023-07-29,2023-09-12,Raw Materials,Raw Materials - Item 455,Primechem Solutions,Operations,44,2848.4,125329.6,N,2023,7,Q3,51,1,2023-07,125329.6,0.0
PO-00053,2024-06-29,2024-07-18,2024-08-23,Logistics,Logistics - Item 824,Crossborder Express,Finance,32,1215.19,38886.08,Y,2024,6,Q2,55,0,2024-06,38886.08,0.0
PO-00054,2023-06-06,2023-06-19,2023-07-28,Logistics,Logistics - Item 430,Quickship Ltd,Finance,35,6220.73,217725.55,Y,2023,6,Q2,52,0,2023-06,217725.55,0.0
PO-00055,2023-09-09,2023-09-24,2023-10-25,Facilities,Facilities - Item 286,Facilitech Corp,Operations,40,1971.07,78842.8,Y,2023,9,Q3,46,0,2023-09,78842.8,0.0
PO-00056,2024-05-14,2024-05-21,2024-06-10,Raw Materials,Raw Materials - Item 347,Alphametals Ltd,Supply Chain,18,3539.12,63704.16,Y,2024,5,Q2,27,0,2024-05,63704.159999999996,7.275957614183426e-12
PO-00057,2024-02-21,2024-03-04,2024-04-20,Logistics,Logistics - Item 413,Lastmile Delivery,Sales,2,959.91,1919.82,Y,2024,2,Q1,59,0,2024-02,1919.82,0.0
PO-00058,2024-01-13,2024-01-21,2024-02-11,Logistics,Logistics - Item 838,Freightmaster Inc,Marketing,45,3647.11,164119.95,Y,2024,1,Q1,29,0,2024-01,164119.95,0.0
PO-00059,2023-07-17,2023-07-31,2023-09-03,MRO,MRO - Item 202,Mechsupply Ltd,Sales,48,785.87,37721.76,Y,2023,7,Q3,48,0,2023-07,37721.76,0.0
PO-00060,2023-07-18,2023-07-27,2023-09-15,MRO,MRO - Item 753,Industrial Direct,Marketing,3,1478.34,4435.02,Y,2023,7,Q3,59,0,2023-07,4435.0199999999995,9.094947017729282e-13
PO-00061,2024-05-17,2024-05-25,2024-07-01,Raw Materials,Raw Materials - Item 941,Portlink Services,IT,12,4595.07,55140.84,Y,2024,5,Q2,45,0,2024-05,55140.84,0.0
PO-00062,2023-03-08,2023-03-16,2023-04-07,Logistics,Logistics - Item 671,Lastmile Delivery,Operations,37,6977.06,258151.22,Y,2023,3,Q1,30,0,2023-03,258151.22,0.0
PO-00063,2024-03-02,2024-03-16,2024-04-13,IT & Software,IT & Software - Item 682,Cloudtech Systems,HR,29,4406.92,127800.68,Y,2024,3,Q1,42,0,2024-03,127800.68000000001,1.4551915228366852e-11
PO-00064,2023-03-03,2023-03-10,2023-04-22,IT & Software,IT & Software - Item 260,Infracloud Ltd,Operations,43,1010.66,43458.38,Y,2023,3,Q1,50,0,2023-03,43458.38,0.0
PO-00065,2023-01-03,2023-01-15,2023-03-02,Logistics,Logistics - Item 370,Crossborder Express,Operations,19,5660.48,107549.12,Y,2023,1,Q1,58,0,2023-01,107549.12,0.0
PO-00066,2023-07-22,2023-08-05,2023-09-13,Logistics,Logistics - Item 549,Lastmile Delivery,Supply Chain,5,803.65,4018.25,N,2023,7,Q3,53,1,2023-07,4018.25,0.0
PO-00067,2023-05-08,2023-05-23,2023-06-19,Logistics,Logistics - Item 718,Freightmaster Inc,Finance,29,834.79,24208.91,Y,2023,5,Q2,42,0,2023-05,24208.91,0.0
PO-00068,2023-09-14,2023-09-20,2023-10-16,Raw Materials,Raw Materials - Item 881,Globalmat Corp,Supply Chain,2,5170.16,10340.32,Y,2023,9,Q3,32,0,2023-09,10340.32,0.0
PO-00069,2023-06-29,2023-07-15,2023-08-13,Logistics,Logistics - Item 518,Localfreight Co,Operations,41,7186.0,294626.0,Y,2023,6,Q2,45,0,2023-06,294626.0,0.0
PO-00070,2023-12-08,2023-12-14,2024-01-27,MRO,MRO - Item 565,Fasttrack Mro,IT,43,1509.62,64913.66,Y,2023,12,Q4,50,0,2023-12,64913.659999999996,7.275957614183426e-12
PO-00071,2023-04-01,2023-04-07,2023-05-12,MRO,MRO - Item 292,Mechsupply Ltd,IT,1,1012.16,1012.16,Y,2023,4,Q2,41,0,2023-04,1012.16,0.0
PO-00072,2024-06-14,2024-07-04,2024-08-12,MRO,MRO - Item 224,Toolmaster Supply,Marketing,36,229.8,8272.8,Y,2024,6,Q2,59,0,2024-06,8272.800000000001,1.8189894035458565e-12
PO-00073,2023-01-30,2023-02-18,2023-02-21,Marketing,Marketing - Item 220,Brandboost Agency,Operations,36,5894.78,212212.08,Y,2023,1,Q1,22,0,2023-01,212212.08,0.0
PO-00074,2023-06-07,2023-06-18,2023-07-16,Logistics,Logistics - Item 713,Crossborder Express,Finance,31,2199.05,68170.55,Y,2023,6,Q2,39,0,2023-06,68170.55,0.0
PO-00075,2024-06-04,2024-06-18,2024-06-19,Professional Services,Professional Services - Item 843,Apex Consulting Group,Marketing,22,23251.88,511541.36,N,2024,6,Q2,15,1,2024-06,511541.36000000004,5.820766091346741e-11
PO-00076,2023-11-02,2023-11-19,2023-12-21,Facilities,Facilities - Item 566,Secureguard Systems,Supply Chain,31,1112.29,34480.99,Y,2023,11,Q4,49,0,2023-11,34480.99,0.0
PO-00077,2023-11-26,2023-12-13,2024-01-25,Facilities,Facilities - Item 495,Buildright Maintenance,IT,27,237.67,6417.09,N,2023,11,Q4,60,1,2023-11,6417.089999999999,9.094947017729282e-13
PO-00078,2023-06-05,2023-06-24,2023-07-23,Logistics,Logistics - Item 115,Buildright Maintenance,R&D,7,6947.32,48631.24,Y,2023,6,Q2,48,0,2023-06,48631.24,0.0
PO-00079,2023-05-28,2023-06-12,2023-06-17,Logistics,Logistics - Item 972,Swiftlogistics Group,IT,22,5417.66,119188.52,N,2023,5,Q2,20,1,2023-05,119188.51999999999,1.4551915228366852e-11
PO-00080,2024-06-30,2024-07-14,2024-08-27,MRO,MRO - Item 332,Toolmaster Supply,Marketing,3,895.17,2685.51,N,2024,6,Q2,58,1,2024-06,2685.5099999999998,4.547473508864641e-13
PO-00081,2023-04-03,2023-04-09,2023-05-08,Logistics,Logistics - Item 400,Lastmile Delivery,Supply Chain,45,2360.39,106217.55,Y,2023,4,Q2,35,0,2023-04,106217.54999999999,1.4551915228366852e-11
PO-00082,2024-01-03,2024-01-15,2024-02-11,MRO,MRO - Item 609,Proparts Inc,HR,11,310.5,3415.5,Y,2024,1,Q1,39,0,2024-01,3415.5,0.0
PO-00083,2023-05-27,2023-06-03,2023-06-21,MRO,MRO - Item 552,Proparts Inc,Sales,30,1404.95,42148.5,N,2023,5,Q2,25,1,2023-05,42148.5,0.0
PO-00084,2023-12-20,2023-12-28,2024-02-03,Marketing,Marketing - Item 342,Creativeworks Inc,Sales,20,3075.8,61516.0,Y,2023,12,Q4,45,0,2023-12,61516.0,0.0
PO-00085,2024-01-26,2024-02-01,2024-03-24,IT & Software,IT & Software - Item 720,Infracloud Ltd,Finance,43,4336.87,186485.41,N,2024,1,Q1,58,1,2024-01,186485.41,0.0
PO-00086,2024-05-23,2024-06-01,2024-07-20,Facilities,Facilities - Item 743,Secureguard Systems,Operations,15,1993.25,29898.75,N,2024,5,Q2,58,1,2024-05,29898.75,0.0
PO-00087,2023-04-10,2023-04-28,2023-05-15,Office Supplies,Office Supplies - Item 279,Officeworld Ltd,IT,47,80.49,3783.03,Y,2023,4,Q2,35,0,2023-04,3783.0299999999997,4.547473508864641e-13
PO-00088,2023-07-25,2023-08-08,2023-09-08,Raw Materials,Raw Materials - Item 864,Northstar Composites,HR,11,1526.54,16791.94,N,2023,7,Q3,45,1,2023-07,16791.94,0.0
PO-00089,2023-12-13,2023-12-29,2024-02-01,Professional Services,Professional Services - Item 192,Apex Consulting Group,Marketing,44,17863.81,786007.64,Y,2023,12,Q4,50,0,2023-12,786007.64,0.0
PO-00090,2024-02-09,2024-02-17,2024-03-18,Raw Materials,Raw Materials - Item 791,Alphametals Ltd,Sales,38,2450.47,93117.86,N,2024,2,Q1,38,1,2024-02,93117.85999999999,1.4551915228366852e-11
PO-00091,2023-08-28,2023-09-11,2023-10-26,Logistics,Logistics - Item 764,Localfreight Co,Finance,42,837.73,35184.66,Y,2023,8,Q3,59,0,2023-08,35184.66,0.0
PO-00092,2024-02-23,2024-03-13,2024-04-02,Raw Materials,Raw Materials - Item 479,Primechem Solutions,Finance,7,1337.01,9359.07,Y,2024,2,Q1,39,0,2024-02,9359.07,0.0
PO-00093,2024-03-05,2024-03-21,2024-03-22,IT & Software,IT & Software - Item 322,Techbridge Corp,Sales,40,5404.18,216167.2,N,2024,3,Q1,17,1,2024-03,216167.2,0.0
PO-00094,2024-03-30,2024-04-07,2024-04-26,Logistics,Logistics - Item 968,Freightmaster Inc,R&D,42,2999.41,125975.22,Y,2024,3,Q1,27,0,2024-03,125975.22,0.0
PO-00095,2024-04-10,2024-04-21,2024-05-31,Raw Materials,Raw Materials - Item 170,Primechem Solutions,R&D,22,1266.7,27867.4,Y,2024,4,Q2,51,0,2024-04,27867.4,0.0
PO-00096,2023-08-01,2023-08-10,2023-08-25,IT & Software,IT & Software - Item 653,Cloudtech Systems,Marketing,39,150.63,5874.57,N,2023,8,Q3,24,1,2023-08,5874.57,0.0
PO-00097,2023-09-14,2023-09-20,2023-10-15,Professional Services,Professional Services - Item 229,Financewise Advisory,Operations,16,10822.19,173155.04,Y,2023,9,Q3,31,0,2023-09,173155.04,0.0
PO-00098,2024-03-07,2024-03-13,2024-04-30,Logistics,Logistics - Item 844,Crossborder Express,Marketing,7,3569.91,24989.37,Y,2024,3,Q1,54,0,2024-03,24989.37,0.0
PO-00099,2024-06-17,2024-06-24,2024-07-30,MRO,MRO - Item 182,Fasttrack Mro,R&D,28,1042.81,29198.68,N,2024,6,Q2,43,1,2024-06,29198.68,0.0
PO-00100,2023-11-26,2023-12-15,2023-12-29,IT & Software,IT & Software - Item 617,Datacore Solutions,Sales,21,4723.0,99183.0,Y,2023,11,Q4,33,0,2023-11,99183.0,0.0
PO-00101,2024-03-16,2024-04-03,2024-04-14,Raw Materials,Raw Materials - Item 447,Eastcoast Polymers,Sales,47,4293.46,201792.62,N,2024,3,Q1,29,1,2024-03,201792.62,0.0
PO-00102,2024-04-09,2024-04-16,2024-04-29,MRO,MRO - Item 195,Industrial Direct,Finance,10,1040.51,10405.1,Y,2024,4,Q2,20,0,2024-04,10405.1,0.0
PO-00103,2024-03-18,2024-04-03,2024-04-28,Raw Materials,Raw Materials - Item 994,Eastcoast Polymers,HR,36,2994.55,107803.8,Y,2024,3,Q1,41,0,2024-03,107803.8,0.0
PO-00104,2024-03-09,2024-03-21,2024-04-23,Facilities,Facilities - Item 967,Facilitech Corp,Sales,37,1462.98,54130.26,Y,2024,3,Q1,45,0,2024-03,54130.26,0.0
PO-00105,2023-04-21,2023-04-26,2023-06-14,MRO,MRO - Item 723,Fasttrack Mro,Finance,28,1396.53,39102.84,Y,2023,4,Q2,54,0,2023-04,39102.84,0.0
PO-00106,2023-10-01,2023-10-08,2023-11-10,Raw Materials,Raw Materials - Item 245,Globalmat Corp,Supply Chain,12,4433.38,53200.56,Y,2023,10,Q4,40,0,2023-10,53200.56,0.0
PO-00107,2023-02-01,2023-02-08,2023-03-24,Raw Materials,Raw Materials - Item 153,Alphametals Ltd,IT,20,3727.89,74557.8,Y,2023,2,Q1,51,0,2023-02,74557.8,0.0
PO-00108,2023-06-09,2023-06-17,2023-07-07,Raw Materials,Raw Materials - Item 453,Globalmat Corp,Finance,32,3060.52,97936.64,Y,2023,6,Q2,28,0,2023-06,97936.64,0.0
PO-00109,2024-03-16,2024-03-27,2024-03-31,Raw Materials,Raw Materials - Item 408,Primechem Solutions,HR,15,2138.93,32083.95,Y,2024,3,Q1,15,0,2024-03,32083.949999999997,3.637978807091713e-12
PO-00110,2023-08-05,2023-08-17,2023-10-04,Professional Services,Professional Services - Item 612,Strategyfirst Partners,Operations,28,3831.99,107295.72,Y,2023,8,Q3,60,0,2023-08,107295.72,0.0
PO-00111,2023-12-29,2024-01-16,2024-02-27,Raw Materials,Raw Materials - Item 396,Steelcore Industries,Operations,21,3489.49,73279.29,N,2023,12,Q4,60,1,2023-12,73279.29,0.0
PO-00112,2023-04-28,2023-05-10,2023-05-19,Logistics,Logistics - Item 546,Swiftlogistics Group,R&D,45,7650.34,344265.3,Y,2023,4,Q2,21,0,2023-04,344265.3,0.0
PO-00113,2024-02-15,2024-02-26,2024-04-03,Logistics,Logistics - Item 894,Freightmaster Inc,Finance,11,911.79,10029.69,Y,2024,2,Q1,48,0,2024-02,10029.689999999999,1.8189894035458565e-12
PO-00114,2023-12-24,2023-12-31,2024-02-18,MRO,MRO - Item 281,Toolmaster Supply,Operations,17,342.93,5829.81,Y,2023,12,Q4,56,0,2023-12,5829.81,0.0
PO-00115,2024-05-20,2024-06-04,2024-07-14,Logistics,Logistics - Item 254,Crossborder Express,Sales,42,5321.1,223486.2,N,2024,5,Q2,55,1,2024-05,223486.2,0.0
PO-00116,2024-03-26,2024-04-01,2024-04-12,Raw Materials,Raw Materials - Item 477,Alphametals Ltd,Finance,33,668.43,22058.19,Y,2024,3,Q1,17,0,2024-03,22058.19,0.0
PO-00117,2023-10-21,2023-11-09,2023-11-07,Raw Materials,Raw Materials - Item 929,Eastcoast Polymers,Sales,30,3256.81,97704.3,Y,2023,10,Q4,17,0,2023-10,97704.3,0.0
PO-00118,2023-07-12,2023-07-22,2023-09-06,MRO,MRO - Item 140,Fasttrack Mro,Operations,22,1351.88,29741.36,Y,2023,7,Q3,56,0,2023-07,29741.36,0.0
PO-00119,2023-09-11,2023-09-17,2023-11-08,Professional Services,Professional Services - Item 908,Legaledge Associates,Sales,19,8496.76,161438.44,Y,2023,9,Q3,58,0,2023-09,161438.44,0.0
PO-00120,2023-12-09,2023-12-24,2024-01-02,Raw Materials,Raw Materials - Item 183,Globalmat Corp,Finance,43,4928.36,211919.48,Y,2023,12,Q4,24,0,2023-12,211919.47999999998,2.9103830456733704e-11
PO-00121,2023-05-25,2023-06-09,2023-07-03,Office Supplies,Office Supplies - Item 932,Deskpro Supplies,Sales,46,451.74,20780.04,Y,2023,5,Q2,39,0,2023-05,20780.04,0.0
PO-00122,2023-05-11,2023-05-27,2023-05-27,IT & Software,IT & Software - Item 416,Softedge Inc,Sales,42,8092.14,339869.88,Y,2023,5,Q2,16,0,2023-05,339869.88,0.0
PO-00123,2023-07-04,2023-07-10,2023-07-25,Office Supplies,Office Supplies - Item 777,Printmaster Co,Operations,10,51.1,511.0,N,2023,7,Q3,21,1,2023-07,511.0,0.0
PO-00124,2023-12-11,2023-12-30,2024-01-05,Facilities,Facilities - Item 144,Cleanpro Services,Operations,45,2480.58,111626.1,Y,2023,12,Q4,25,0,2023-12,111626.09999999999,1.4551915228366852e-11
PO-00125,2024-02-25,2024-03-07,2024-04-10,MRO,MRO - Item 476,Mechsupply Ltd,Sales,29,369.0,10701.0,N,2024,2,Q1,45,1,2024-02,10701.0,0.0
PO-00126,2024-03-27,2024-04-02,2024-04-27,Logistics,Logistics - Item 756,Freightmaster Inc,HR,13,6001.81,78023.53,N,2024,3,Q1,31,1,2024-03,78023.53,0.0
PO-00127,2024-05-07,2024-05-16,2024-06-19,Facilities,Facilities - Item 950,Buildright Maintenance,Supply Chain,19,319.92,6078.48,N,2024,5,Q2,43,1,2024-05,6078.4800000000005,9.094947017729282e-13
PO-00128,2024-03-23,2024-04-09,2024-04-22,Raw Materials,Raw Materials - Item 183,Eastcoast Polymers,Supply Chain,27,455.82,12307.14,N,2024,3,Q1,30,1,2024-03,12307.14,0.0
PO-00129,2024-01-19,2024-01-28,2024-03-04,MRO,MRO - Item 877,Fasttrack Mro,Marketing,10,238.88,2388.8,Y,2024,1,Q1,45,0,2024-01,2388.8,0.0
PO-00130,2024-04-25,2024-05-13,2024-06-12,Logistics,Logistics - Item 213,Northstar Composites,Operations,10,4731.48,47314.8,Y,2024,4,Q2,48,0,2024-04,47314.799999999996,7.275957614183426e-12
PO-00131,2023-10-23,2023-10-28,2023-12-15,MRO,MRO - Item 747,Fasttrack Mro,Sales,5,227.82,1139.1,N,2023,10,Q4,53,1,2023-10,1139.1,0.0
PO-00132,2024-06-11,2024-06-27,2024-07-01,IT & Software,IT & Software - Item 169,Datacore Solutions,Operations,37,5223.4,193265.8,Y,2024,6,Q2,20,0,2024-06,193265.8,0.0
PO-00133,2024-06-22,2024-06-27,2024-07-23,Logistics,Logistics - Item 465,Crossborder Express,Operations,3,5694.43,17083.29,N,2024,6,Q2,31,1,2024-06,17083.29,0.0
PO-00134,2023-03-11,2023-03-21,2023-04-16,MRO,MRO - Item 950,Toolmaster Supply,Marketing,22,236.25,5197.5,N,2023,3,Q1,36,1,2023-03,5197.5,0.0
PO-00135,2024-04-20,2024-04-26,2024-05-17,Marketing,Marketing - Item 423,Brandboost Agency,Operations,30,702.76,21082.8,N,2024,4,Q2,27,1,2024-04,21082.8,0.0
PO-00136,2023-11-14,2023-11-29,2023-12-02,Logistics,Logistics - Item 379,Crossborder Express,Finance,13,2684.34,34896.42,Y,2023,11,Q4,18,0,2023-11,34896.42,0.0
